source,target,generes
Rosalia,NATHY PELUSO,"['r&b en espanol', 'rap latina']"
NATHY PELUSO,Sofía Gabanna,['rap underground espanol']
NATHY PELUSO,CA7RIEL,"['argentine indie', 'electronica argentina', 'trap argentino']"
NATHY PELUSO,Sara Hebe,"['argentine indie', 'rap latina', 'rap politico']"
NATHY PELUSO,Ptazeta,['rap canario']
NATHY PELUSO,C. Tangana,['urbano espanol']
NATHY PELUSO,Chita,"['argentine indie', 'r&b argentino', 'r&b en espanol']"
NATHY PELUSO,Mala Rodríguez,"['latin hip hop', 'rap latina']"
NATHY PELUSO,Marilina Bertoldi,"['argentine alternative rock', 'argentine indie', 'argentine rock']"
NATHY PELUSO,Bad Gyal,"['neoperreo', 'rap catala', 'rap latina', 'trap catala', 'urbano espanol', 'urbano latino']"
NATHY PELUSO,LOUTA,"['argentine alternative rock', 'argentine indie', 'electronica argentina', 'pop argentino']"
NATHY PELUSO,Ms Nina,"['neoperreo', 'rap latina']"
NATHY PELUSO,Gata Cattana,"['rap canario', 'rap latina', 'rap politico', 'spanish hip hop', 'urbano espanol']"
NATHY PELUSO,Paco Amoroso,"['argentine indie', 'rap underground argentino']"
NATHY PELUSO,ROSALÍA,"['pop', 'r&b en espanol']"
NATHY PELUSO,Usted Señalemelo,"['argentine alternative rock', 'argentine indie', 'argentine rock', 'electronica argentina', 'manso indie', 'pop electronico']"
NATHY PELUSO,Villano Antillano,"['rap boricua', 'urbano latino']"
NATHY PELUSO,TAICHU,['trap argentino']
NATHY PELUSO,Bandalos Chinos,"['argentine alternative rock', 'argentine indie', 'latin rock']"
NATHY PELUSO,El Kuelgue,"['argentine indie', 'argentine reggae', 'argentine rock']"
NATHY PELUSO,NAFTA,"['argentine indie', 'latin funk', 'r&b argentino']"
Rosalia,C. Tangana,['urbano espanol']
C. Tangana,DELLAFUENTE,"['flamenco urbano', 'urbano espanol']"
C. Tangana,Cruz Cafuné,"['rap canario', 'spanish hip hop', 'urbano espanol']"
C. Tangana,Sen Senra,['urbano espanol']
C. Tangana,Recycled J,"['spanish hip hop', 'urbano espanol']"
C. Tangana,NATHY PELUSO,"['r&b en espanol', 'rap latina']"
C. Tangana,Natos y Waor,"['rap underground espanol', 'spanish hip hop', 'urbano espanol']"
C. Tangana,Don Patricio,"['rap canario', 'urbano espanol']"
C. Tangana,Delaossa,"['boom bap espanol', 'rap canario', 'spanish hip hop', 'urbano espanol']"
C. Tangana,Bad Gyal,"['neoperreo', 'rap catala', 'rap latina', 'trap catala', 'urbano espanol', 'urbano latino']"
C. Tangana,Agorazein,"['spanish hip hop', 'urbano espanol']"
C. Tangana,Ayax y Prok,"['rap politico', 'spanish hip hop', 'urbano espanol']"
C. Tangana,Omar Montes,"['flamenco urbano', 'pop flamenco', 'urbano espanol']"
C. Tangana,Yung Beef,"['drill espanol', 'emo trap en espanol', 'neoperreo', 'spanish hip hop', 'urbano espanol']"
C. Tangana,FERNANDOCOSTA,['spanish hip hop']
C. Tangana,Sticky M.A.,"['emo trap en espanol', 'urbano espanol']"
C. Tangana,Alizzz,"['tontipop', 'vapor twitch']"
C. Tangana,Kaydy Cain,"['neoperreo', 'urbano espanol']"
C. Tangana,Juancho Marqués,"['spanish hip hop', 'urbano espanol']"
C. Tangana,Cupido,['urbano espanol']
C. Tangana,Maikel Delacalle,"['rap canario', 'trap latino', 'urbano espanol']"
Rosalia,Lola Indigo,"['latin viral pop', 'spanish pop']"
Lola Indigo,Ana Mena,['spanish pop']
Lola Indigo,Chanel,[]
Lola Indigo,Ana Guerra,"['latin pop', 'latin talent show', 'spanish pop']"
Lola Indigo,Aitana,"['latin talent show', 'latin viral pop', 'spanish pop']"
Lola Indigo,Vicco,[]
Lola Indigo,Belén Aguilera,['spanish pop']
Lola Indigo,Miriam Rodríguez,['latin talent show']
Lola Indigo,Omar Montes,"['flamenco urbano', 'pop flamenco', 'urbano espanol']"
Lola Indigo,Álvaro De Luna,['spanish pop']
Lola Indigo,Edurne,"['latin arena pop', 'spanish pop']"
Lola Indigo,Blas Cantó,['spanish pop']
Lola Indigo,Nil Moliner,['spanish pop']
Lola Indigo,Lérica,['spanish pop']
Lola Indigo,Miki Núñez,"['latin talent show', 'reggae catala']"
Lola Indigo,Sweet California,['latin viral pop']
Lola Indigo,Amaia,"['latin talent show', 'tontipop']"
Lola Indigo,Bad Gyal,"['neoperreo', 'rap catala', 'rap latina', 'trap catala', 'urbano espanol', 'urbano latino']"
Lola Indigo,Ptazeta,['rap canario']
Lola Indigo,Abraham Mateo,"['latin arena pop', 'latin pop', 'latin viral pop', 'reggaeton', 'spanish pop']"
Lola Indigo,Nerea Rodríguez,['latin talent show']
Rosalia,Bad Gyal,"['neoperreo', 'rap catala', 'rap latina', 'trap catala', 'urbano espanol', 'urbano latino']"
Bad Gyal,La Zowi,"['rap latina', 'urbano espanol']"
Bad Gyal,La Mafia del Amor,['urbano espanol']
Bad Gyal,La Mafia del Amor x El Combo Perfecto,['urbano espanol']
Bad Gyal,Tokischa,"['rap latina', 'trap dominicano']"
Bad Gyal,Soto Asa,['urbano espanol']
Bad Gyal,DELLAFUENTE,"['flamenco urbano', 'urbano espanol']"
Bad Gyal,Yung Beef,"['drill espanol', 'emo trap en espanol', 'neoperreo', 'spanish hip hop', 'urbano espanol']"
Bad Gyal,Kaydy Cain,"['neoperreo', 'urbano espanol']"
Bad Gyal,Albany,['urbano espanol']
Bad Gyal,Lola Indigo,"['latin viral pop', 'spanish pop']"
Bad Gyal,LUNA KI,['urbano espanol']
Bad Gyal,C. Tangana,['urbano espanol']
Bad Gyal,Omar Montes,"['flamenco urbano', 'pop flamenco', 'urbano espanol']"
Bad Gyal,Rvfv,"['drill espanol', 'flamenco urbano', 'urbano espanol', 'urbano latino']"
Bad Gyal,Ms Nina,"['neoperreo', 'rap latina']"
Bad Gyal,NATHY PELUSO,"['r&b en espanol', 'rap latina']"
Bad Gyal,Young Miko,"['trap latino', 'urbano latino']"
Bad Gyal,Beny Jr,"['drill espanol', 'urbano espanol']"
Bad Gyal,Saiko,"['trap latino', 'urbano espanol', 'urbano latino']"
Bad Gyal,PXXR GVNG,['urbano espanol']
Rosalia,Aitana,"['latin talent show', 'latin viral pop', 'spanish pop']"
Aitana,Ana Guerra,"['latin pop', 'latin talent show', 'spanish pop']"
Aitana,Lola Indigo,"['latin viral pop', 'spanish pop']"
Aitana,Ana Mena,['spanish pop']
Aitana,Miriam Rodríguez,['latin talent show']
Aitana,Beret,"['spanish hip hop', 'spanish pop']"
Aitana,Vicco,[]
Aitana,Álvaro De Luna,['spanish pop']
Aitana,Amaia,"['latin talent show', 'tontipop']"
Aitana,Chanel,[]
Aitana,Cepeda,"['latin talent show', 'spanish pop']"
Aitana,Nil Moliner,['spanish pop']
Aitana,Blas Cantó,['spanish pop']
Aitana,Edurne,"['latin arena pop', 'spanish pop']"
Aitana,Abraham Mateo,"['latin arena pop', 'latin pop', 'latin viral pop', 'reggaeton', 'spanish pop']"
Aitana,Belén Aguilera,['spanish pop']
Aitana,Operación Triunfo 2017,"['latin talent show', 'latin viral pop']"
Aitana,Sweet California,['latin viral pop']
Aitana,Melendi,"['spanish pop', 'spanish pop rock']"
Aitana,zzoilo,['latin pop']
Aitana,Dvicio,"['latin arena pop', 'latin pop', 'spanish pop']"
Rosalia,Becky G,"['latin pop', 'latin viral pop', 'rap latina', 'reggaeton', 'trap latino', 'urbano latino']"
Becky G,NATTI NATASHA,"['latin pop', 'rap latina', 'reggaeton', 'urbano latino']"
Becky G,Lele Pons,"['latin pop', 'latin viral pop', 'viral pop']"
Becky G,Sofía Reyes,"['latin pop', 'latin viral pop', 'mexican pop', 'reggaeton']"
Becky G,Danna Paola,"['latin pop', 'latin viral pop', 'mexican pop']"
Becky G,Piso 21,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Becky G,CNCO,"['boy band', 'latin pop', 'reggaeton', 'urbano latino']"
Becky G,Greeicy,"['colombian pop', 'latin pop', 'r&b en espanol', 'reggaeton', 'reggaeton colombiano', 'urbano latino']"
Becky G,Nacho,"['latin pop', 'pop venezolano', 'reggaeton', 'trap latino', 'urbano latino']"
Becky G,Cazzu,"['argentine hip hop', 'rap latina', 'reggaeton', 'trap argentino', 'trap latino', 'urbano latino']"
Becky G,Mau y Ricky,"['latin pop', 'pop venezolano', 'reggaeton', 'urbano latino']"
Becky G,Manuel Turizo,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Becky G,Sebastian Yatra,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'urbano latino']"
Becky G,Prince Royce,"['bachata', 'latin hip hop', 'latin pop', 'urbano latino']"
Becky G,Abraham Mateo,"['latin arena pop', 'latin pop', 'latin viral pop', 'reggaeton', 'spanish pop']"
Becky G,KAROL G,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Becky G,Wisin,"['reggaeton', 'urbano latino']"
Becky G,Nicky Jam,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
