N.º	País	Intérprete(s)	Canción	Lugar	Puntos	#	Pts.	Intérprete
1.0	Chipre	One	Gimme	6	85.0			
2.0	Reino Unido	Jessica Garlick	Come back	3	111.0			
3.0	Austria	Manuel Ortega	Say a word	18	26.0			
4.0	Grecia	Michalis Rakintzis	S.A.G.A.P.O.	17	27.0			
5.0	España	Rosa	Europe's living a celebration	7	81.0			
6.0	Croacia	Vesna Pisarović	Everything I want	11	44.0			
7.0	Rusia	Prime Minister	Northern girl	10	55.0			
8.0	Estonia	Sahlene	Runaway	4	111.0			
9.0	Macedonia (ARY)	Karolina Gočeva	Od nas zavisi	19	25.0			
10.0	Israel	Sarit Hadad	Light a candle (Nadlik beyachad ner)	12	37.0			
11.0	Suiza	Francine Jordi	Dans le jardin de mon âme	22	15.0			
12.0	Suecia	Afro-dite	Never let it go	8	72.0			
13.0	Finlandia	Laura Voutilainen	Addicted to you	20	24.0			
14.0	Dinamarca	Malene Mortensen	Tell me who you are	24	7.0			
15.0	Bosnia y Herzegovina	Maja Tatić	Na jastuku za dvoje	15	33.0			
16.0	Bélgica	Sergio & the Ladies	Sister	13	33.0			
17.0	Francia	Sandrine François	Il faut du temps (Je me battrai pour ça)	5	104.0			
18.0	Alemania	Corinna May	I can't live without music	21	17.0			
19.0	Turquía	Buket Bengisu y Grup Safir	Leylaklar soldu kalbinde	16	29.0			
20.0	Malta	Ira Losco	7th wonder	2	164.0			
21.0	Rumania	Monica Anghel y Marcel Pavel	Tell me why	9	71.0			
22.0	Eslovenia	Sestre	Samo ljubezen	14	33.0			
23.0	Letonia	Marie N	I wanna	1	176.0			
24.0	Lituania	Aivaras	Happy you	23	12.0			
	Islandia	Birgitta Haukdal	«Open Your Heart»	9	81.0	1.0		
	Austria	Alf Poier	«Weil Der Mensch Zählt»	6	101.0	2.0		
	Irlanda	Mickey Joe Harte	«We've Got The World»	12	53.0	3.0		
	Turquía	Sertab Erener	«Everyway That I Can»	1	167.0	4.0		
	Malta	Lynn Chircop	«To Dream Again»	25	4.0	5.0		
	Bosnia y Herzegovina	Mija Martina	«Ne Brini (Could It Be?)»	16	27.0	6.0		
	Portugal	Rita Guerra	«Deixa-me Sonhar (só mais uma vez)»	22	13.0	7.0		
	Croacia	Claudia Beni	«Više Nisam Tvoja»	15	29.0	8.0		
	Chipre	Stelios Constantas	«Feeling Alive»	20	15.0	9.0		
	Alemania	Lou	«Let's Get Happy»	11	53.0	10.0		
	Rusia	t.A.T.u.	«Ne Ver', Ne Boysia»	3	164.0	11.0		
	España	Beth	«Dime»	8	81.0	12.0		
	Israel	Lior Narkis	«Words For Love (Milim La'ahava)»	19	17.0	13.0		
	Países Bajos	Esther Hart	«One More Night»	13	45.0	14.0		
	Reino Unido	Jemini	«Cry Baby»	26	0.0	15.0		
	Ucrania	Oleksandr Ponomariov	«Hasta La Vista»	14	30.0	16.0		
	Grecia	Mando	«Never Let You Go»	17	25.0	17.0		
	Noruega	Jostein Hasselgård	«I'm Not Afraid To Move On»	4	123.0	18.0		
	Francia	Louisa Baïleche	«Monts Et Merveilles»	18	19.0	19.0		
	Polonia	Ich Troje	«Keine Grenzen-Żadnych Granic»	7	90.0	20.0		
	Letonia	F.L.Y.	«Hello From Mars»	24	5.0	21.0		
	Bélgica	Urban Trad	«Sanomi»	2	165.0	22.0		
	Estonia	Ruffus	«Eighties Coming Back»	21	14.0	23.0		
	Rumania	Nicola	«Don't Break My Heart»	10	73.0	24.0		
	Suecia	Fame	«Give Me Your Love»	5	107.0	25.0		
	Eslovenia	Karmen Stavec	«Nanana»	23	7.0	26.0		
1.0	España	Ramón	«Para llenarme de ti»	10	87.0			
2.0	Austria	Tie-break	«Du Bist»	21	9.0			
3.0	Noruega	Knut Anders Sorum	«High»	24	3.0			
4.0	Francia	Jonatan Cerrada	«À Chaque Pas»	15	40.0			
5.0	Serbia y Montenegro	Željko Joksimović	«Lane Moje»	2	263.0			
6.0	Malta	Julie & Ludwig	«On Again... Off Again»	12	50.0			
7.0	Países Bajos	Re-Union	«Without You»	20	11.0			
8.0	Alemania	Max	«Can't Wait Until Tonight»	8	93.0			
9.0	Albania	Anjeza Shahini	«The Image Of You»	7	106.0			
10.0	Ucrania	Ruslana	«Wild Dances»	1	280.0			
11.0	Croacia	Ivan Mikulić	«You Are The Only One»	13	50.0			
12.0	Bosnia y Herzegovina	Deen	«In The Disco»	9	91.0			
13.0	Bélgica	Xandee	«1 Life»	22	7.0			
14.0	Rusia	Julia Savicheva	«Believe Me»	11	67.0			
15.0	Macedonia (ARY)	Toše Proeski	«Life»	14	47.0			
16.0	Grecia	Sakis Rouvas	«Shake It»	3	252.0			
17.0	Islandia	Jónsi	«Heaven»	19	16.0			
18.0	Irlanda	Chris Doran	«If My World Stopped Turning»	23	7.0			
19.0	Polonia	Blue Cafe	«Love Song»	17	27.0			
20.0	Reino Unido	James Fox	«Hold On To Our Love»	16	29.0			
21.0	Chipre	Lisa Andreas	«Stronger Every Minute»	5	170.0			
22.0	Turquía	Athena	«For Real»	4	195.0			
23.0	Rumania	Sanda	«I Admit»	18	18.0			
24.0	Suecia	Lena Philipsson	«It Hurts»	5	170.0			
1.0	Hungría	NOX	«Forogj, Világ!»	12	97.0			
2.0	Reino Unido	Javine	«Touch My Fire»	22	18.0			
3.0	Malta	Chiara	«Angel»	2	192.0			
4.0	Rumania	Luminita Anghel & Sistem	«Let Me Try»	3	158.0			
5.0	Noruega	Wig Wam	«In My Dreams»	9	125.0			
6.0	Turquía	Gülseren	«Rimi Rimi Ley»	13	92.0			
7.0	Moldavia	Zdob şi Zdub	«Boonika Bate Doba»	6	148.0			
8.0	Albania	Ledina Çelo	«Tomorrow I Go»	16	53.0			
9.0	Chipre	Constantinos Christoforou	«Ela Ela (Come Baby)»	18	46.0			
10.0	España	Son de Sol	«Brujería»	21	28.0			
11.0	Israel	Shiri Maimon	«Hasheket Shenish'ar»	4	154.0			
